arrest_year,arrest_date,arrest_hour,age,race,sex,arrest_category,description,offense_location_district,PSA
2019,4/9/2019,10,39,BLACK,MALE,Simple Assault,Simple Assault,7D,702
2019,11/23/2019,6,22,BLACK,MALE,Theft,Theft First Degree (all Other Larceny),5D,505
2019,5/30/2019,2,36,BLACK,MALE,Weapon Violations,Felon In Possession,7D,701
2019,9/22/2019,5,28,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,2D,208
2019,11/20/2019,10,36,BLACK,MALE,Prostitution,Sexual Solicitation,7D,706
2019,1/18/2019,7,51,BLACK,MALE,Theft,Shoplifting,2D,208
2019,4/12/2019,12,51,BLACK,MALE,Traffic Violations,No Permit,1D,104
2019,5/27/2019,1,24,BLACK,MALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",1D,101
2019,6/12/2019,11,64,WHITE,MALE,Narcotics,Poss Of A Controlled Substance -misd,7D,706
2019,6/14/2019,8,37,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,1D,102
2019,6/22/2019,2,78,UNKNOWN,MALE,Simple Assault,Simple Assault,4D,402
2019,2/8/2019,10,24,BLACK,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,7D,708
2019,12/3/2019,4,20,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),2D,202
2019,8/23/2019,5,47,BLACK,MALE,Other Crimes,Unlawful Entry,5D,505
2019,11/11/2019,4,40,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,5D,501
2019,1/5/2019,3,58,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -misd,3D,308
2019,9/18/2019,6,37,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,1D,102
2019,10/1/2019,7,23,BLACK,FEMALE,Offenses Against Family & Children,1st Degree Cruelty To Children,6D,601
2019,3/30/2019,7,25,BLACK,FEMALE,Traffic Violations,Speed (30 Or Over),7D,703
2019,7/23/2019,12,50,BLACK,FEMALE,Theft,Theft Second Degree (theft From Building),5D,501
2019,11/6/2019,11,60,BLACK,MALE,Narcotics,Possess Controlled Substance,2D,207
2019,7/30/2019,5,22,BLACK,FEMALE,Narcotics,Distribution Of Marijuana-misd,3D,303
2019,12/31/2019,3,35,BLACK,FEMALE,Release Violations/Fugitive,Probation Violation (Warrant),6D,607
2019,4/28/2019,7,29,BLACK,MALE,Traffic Violations,Counterfeit Tags,6D,604
2019,12/27/2019,9,64,WHITE,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,1D,102
2019,8/29/2019,5,25,BLACK,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,5D,503
2019,5/8/2019,1,31,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,5D,503
2019,1/2/2019,9,35,BLACK,MALE,Traffic Violations,No Permit,5D,505
2019,2/8/2019,12,36,ASIAN,FEMALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,2D,207
2019,4/15/2019,3,41,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,1D,104
2019,11/9/2019,3,31,WHITE,MALE,Prostitution,Sexual Solicitation,5D,506
2019,8/15/2019,7,23,BLACK,MALE,Theft,Shoplifting,2D,206
2019,9/4/2019,7,31,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,1D,107
2019,6/11/2019,11,24,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,7D,702
2019,10/23/2019,1,33,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),1D,106
2019,10/27/2019,4,33,BLACK,MALE,Simple Assault,Simple Assault,2D,209
2019,6/14/2019,11,25,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,6D,605
2019,8/31/2019,2,39,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,5D,504
2019,4/12/2019,4,40,BLACK,MALE,Traffic Violations,No Permit,6D,602
2019,5/12/2019,9,41,BLACK,MALE,Traffic Violations,No Permit,2D,208
2019,3/6/2019,2,29,BLACK,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,3D,305
2019,11/20/2019,11,28,BLACK,MALE,Prostitution,Pandering,7D,706
2019,10/8/2019,3,28,BLACK,MALE,Traffic Violations,No Permit,3D,303
2019,11/12/2019,5,46,BLACK,MALE,Simple Assault,Simple Assault,7D,702
2019,7/20/2019,5,31,BLACK,FEMALE,Simple Assault,Simple Assault,5D,505
2019,3/9/2019,1,25,BLACK,MALE,Simple Assault,Simple Assault,4D,406
2019,11/17/2019,8,23,WHITE,FEMALE,Release Violations/Fugitive,Bench Warrant,5D,506
2019,7/24/2019,5,32,WHITE,FEMALE,Offenses Against Family & Children,"Lewd, Indecent, Or Obscene Acts (all Other Offenses)",4D,408
2019,10/16/2019,4,38,BLACK,MALE,Other Crimes,Unlawful Entry,6D,606
2019,4/7/2019,4,27,WHITE,MALE,Simple Assault,Simple Assault,2D,208
2019,11/13/2019,6,45,BLACK,MALE,Release Violations/Fugitive,Parole Violation (Warrant),7D,701
2019,10/10/2019,11,39,WHITE,MALE,Prostitution,Sexual Solicitation,3D,307
2019,7/5/2019,3,47,WHITE,MALE,Fraud and Financial Crimes,Id Theft Second Degree - Intent To Obtain Property/service - Misdemeanor,4D,402
2019,11/4/2019,10,37,BLACK,MALE,Simple Assault,Simple Assault,6D,605
2019,5/1/2019,10,58,BLACK,FEMALE,Simple Assault,Simple Assault,4D,403
2019,5/27/2019,4,62,WHITE,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,3D,303
2019,6/7/2019,10,24,BLACK,MALE,Traffic Violations,No Permit,5D,501
2019,12/7/2019,2,38,BLACK,MALE,Prostitution,Sexual Solicitation,3D,307
2019,6/6/2019,10,35,BLACK,FEMALE,Traffic Violations,Counterfeit Tags,6D,602
2019,4/30/2019,2,37,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,1D,104
2019,12/13/2019,11,41,BLACK,FEMALE,Simple Assault,Simple Assault,6D,607
2019,4/27/2019,6,26,BLACK,MALE,Property Crimes,Receiving Stolen Property,6D,608
2019,12/6/2019,5,19,BLACK,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,7D,702
2019,10/9/2019,8,25,BLACK,MALE,Weapon Violations,Unlawful Discharge Of A Firearm,6D,604
2019,12/27/2019,11,56,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence -2nd Off,6D,607
2019,6/12/2019,9,53,WHITE,MALE,Prostitution,Sexual Solicitation,6D,608
2019,6/15/2019,10,48,BLACK,MALE,Traffic Violations,No Permit,5D,507
2019,12/14/2019,11,31,BLACK,MALE,Other Crimes,Resisting Arrest,7D,703
2019,2/21/2019,12,37,UNKNOWN,MALE,Theft,Theft Second Degree (all Other Larceny),2D,208
2019,9/18/2019,11,54,WHITE,MALE,Release Violations/Fugitive,Fugitive From Justice,7D,702
2019,3/17/2019,1,23,WHITE,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,2D,209
2019,2/9/2019,1,24,ASIAN,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,2D,207
2019,6/25/2019,5,37,BLACK,MALE,Traffic Violations,Flee Law Enforcement Officer,1D,102
2019,1/15/2019,12,40,BLACK,MALE,Other Crimes,Unlawful Entry,2D,207
2019,8/20/2019,10,31,BLACK,MALE,Narcotics,Consumption of marijuana in public space prohibited,7D,708
2019,5/8/2019,11,56,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,3D,306
2019,10/10/2019,6,39,BLACK,MALE,Simple Assault,Threats To Do Bodily Harm -misd,1D,107
2019,6/12/2019,8,22,BLACK,MALE,Other Crimes,Unlawful Entry,6D,602
2019,10/6/2019,6,55,BLACK,MALE,Theft,Theft Second Degree (theft From Building),6D,603
2019,4/12/2019,9,37,BLACK,MALE,Offenses Against Family & Children,Contempt Of Cpo/tpo,6D,603
2019,3/29/2019,4,21,BLACK,FEMALE,Theft,Theft Second Degree (theft From Building),2D,209
2019,12/4/2019,9,41,BLACK,MALE,Traffic Violations,Counterfeit Tags,6D,608
2019,3/9/2019,6,22,BLACK,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,3D,308
2019,9/28/2019,12,34,BLACK,MALE,Theft,Theft Second Degree (theft From Building),5D,505
2019,2/18/2019,12,30,WHITE,MALE,Release Violations/Fugitive,Failure To Appear (USAO),3D,302
2019,10/25/2019,2,41,BLACK,MALE,Simple Assault,Simple Assault,2D,209
2019,2/26/2019,2,20,BLACK,MALE,Simple Assault,Simple Assault,7D,708
2019,9/4/2019,5,35,BLACK,FEMALE,Traffic Violations,No Permit,6D,602
2019,3/9/2019,9,26,BLACK,FEMALE,Traffic Violations,No Permit,7D,707
2019,8/27/2019,6,35,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,1D,102
2019,7/12/2019,4,23,BLACK,MALE,Gambling,Gambling,7D,703
2019,5/15/2019,8,38,WHITE,MALE,Traffic Violations,No Permit,6D,606
2019,3/15/2019,5,27,BLACK,MALE,Traffic Violations,No Permit,1D,103
2019,12/23/2019,5,30,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,1D,102
2019,7/16/2019,1,40,BLACK,FEMALE,Other Crimes,Unlawful Entry,5D,501
2019,4/14/2019,5,26,BLACK,FEMALE,Traffic Violations,No Permit,7D,703
2019,2/9/2019,1,21,BLACK,FEMALE,Traffic Violations,No Permit,5D,507
2019,5/15/2019,8,39,BLACK,MALE,Traffic Violations,Counterfeit Tags,6D,605
2019,9/15/2019,7,23,BLACK,MALE,Simple Assault,Simple Assault,6D,604
2019,11/25/2019,12,55,BLACK,MALE,Release Violations/Fugitive,Parole Violation (Warrant),7D,702
2019,11/23/2019,4,44,BLACK,MALE,Simple Assault,Simple Assault,6D,608
2019,7/13/2019,7,34,BLACK,MALE,Simple Assault,Simple Assault,6D,606
2019,2/15/2019,5,19,UNKNOWN,MALE,Sex Offenses,First Degree Child Sex Abuse (rape),4D,405
2019,10/8/2019,4,60,BLACK,MALE,Other Crimes,Unlawful Entry,6D,607
2019,9/23/2019,8,19,WHITE,FEMALE,Other Crimes,"Crowding, Obstructing, or Incommoding (M)",1D,101
2019,5/18/2019,9,30,BLACK,MALE,Traffic Violations,No Permit,6D,602
2019,6/30/2019,11,31,BLACK,MALE,Simple Assault,Simple Assault,1D,106
2019,9/11/2019,11,53,BLACK,MALE,Other Crimes,Unlawful Entry,5D,506
2019,12/12/2019,4,62,BLACK,MALE,Theft,Theft Second Degree - Felony (all Other Larceny),1D,106
2019,5/23/2019,7,59,BLACK,MALE,Traffic Violations,No Permit,6D,602
2019,12/7/2019,2,52,BLACK,MALE,Prostitution,Sexual Solicitation,3D,307
2019,3/11/2019,4,46,BLACK,MALE,Traffic Violations,No Permit,6D,603
2019,9/29/2019,10,31,WHITE,MALE,Simple Assault,Simple Assault,2D,206
2019,7/11/2019,11,28,BLACK,FEMALE,Release Violations/Fugitive,Bail Reform Act -felony,7D,701
2019,8/2/2019,1,20,WHITE,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,4D,402
2019,8/7/2019,6,25,BLACK,FEMALE,Release Violations/Fugitive,Bench Warrant,6D,607
2019,1/30/2019,11,53,WHITE,FEMALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,2D,205
2019,3/28/2019,8,50,BLACK,MALE,Traffic Violations,Counterfeit Tags,5D,507
2019,6/24/2019,6,39,BLACK,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),5D,504
2019,11/15/2019,4,40,BLACK,MALE,Prostitution,Sexual Solicitation,6D,607
2019,3/28/2019,9,59,BLACK,MALE,Simple Assault,Simple Assault,7D,701
2019,3/17/2019,6,33,BLACK,MALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",3D,306
2019,4/24/2019,12,31,BLACK,MALE,Prostitution,Sexual Solicitation,5D,506
2019,4/30/2019,7,39,BLACK,MALE,Simple Assault,Simple Assault,5D,506
2019,10/29/2019,2,19,BLACK,FEMALE,Simple Assault,Simple Assault,6D,605
2019,10/6/2019,1,22,UNKNOWN,MALE,Weapon Violations,Carrying a Pistol While Impaired,3D,303
2019,6/30/2019,4,18,BLACK,MALE,Simple Assault,Simple Assault,6D,608
2019,3/26/2019,1,26,BLACK,FEMALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,1D,102
2019,10/22/2019,1,34,BLACK,FEMALE,Theft,Theft Second Degree (all Other Larceny),5D,507
2019,4/3/2019,8,32,BLACK,MALE,Weapon Violations,Possession Of Unregistered Ammunition,6D,604
2019,6/25/2019,6,20,BLACK,FEMALE,Theft,Theft Second Degree (all Other Larceny),3D,302
2019,11/27/2019,1,39,BLACK,FEMALE,Traffic Violations,No Permit,6D,603
2019,8/6/2019,9,25,BLACK,MALE,Simple Assault,Simple Assault,6D,607
2019,2/17/2019,5,41,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),1D,106
2019,12/31/2019,4,22,BLACK,MALE,Release Violations/Fugitive,Parole Violation (Warrant),6D,604
2019,7/31/2019,9,41,BLACK,FEMALE,Simple Assault,Simple Assault,6D,605
2019,1/30/2019,11,32,BLACK,MALE,Weapon Violations,Firearms Possessed By Convicted Felons,5D,501
2019,4/24/2019,10,41,WHITE,MALE,Prostitution,Sexual Solicitation,6D,602
2019,7/9/2019,8,57,BLACK,MALE,Theft,Shoplifting,5D,501
2019,11/27/2019,5,20,BLACK,FEMALE,Traffic Violations,Counterfeit Tags,6D,608
2019,10/12/2019,7,42,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (OAG),7D,703
2019,4/23/2019,1,25,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,4D,404
2019,9/5/2019,1,26,WHITE,MALE,Traffic Violations,Speed (30 Or Over),2D,206
2019,1/10/2019,9,29,BLACK,MALE,Traffic Violations,Permit Revoked-oar,7D,701
2019,9/12/2019,11,19,WHITE,MALE,Other Crimes,Misrepresent Age To Enter Abc Establishment,2D,208
2019,5/24/2019,10,43,BLACK,MALE,Prostitution,Sexual Solicitation,6D,607
2019,10/7/2019,1,21,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,4D,402
2019,7/27/2019,2,19,BLACK,FEMALE,Traffic Violations,No Permit,6D,604
2019,4/12/2019,12,44,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (USAO),1D,102
2019,2/21/2019,11,19,BLACK,MALE,Simple Assault,Simple Assault,7D,704
2019,2/8/2019,12,50,BLACK,MALE,Other Crimes,Unlawful Entry,5D,505
2019,12/9/2019,6,28,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,5D,504
2019,8/20/2019,11,22,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,1D,101
2019,5/4/2019,3,40,BLACK,MALE,Simple Assault,Simple Assault,6D,602
2019,7/3/2019,2,62,BLACK,MALE,Burglary,Burglary Two,1D,103
2019,10/3/2019,4,63,BLACK,MALE,Traffic Violations,No Permit,7D,702
2019,5/8/2019,8,27,BLACK,MALE,Traffic Violations,No Permit,7D,701
2019,5/30/2019,10,19,WHITE,MALE,Other Crimes,Misrepresent Age To Enter Abc Establishment,2D,208
2019,2/14/2019,6,38,BLACK,FEMALE,Release Violations/Fugitive,Parole Violation (Warrant),1D,102
2019,10/8/2019,12,48,BLACK,MALE,Prostitution,Sexual Solicitation,5D,506
2019,7/30/2019,6,40,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,7D,703
2019,2/3/2019,8,24,BLACK,MALE,Traffic Violations,No Permit,6D,605
2019,11/23/2019,8,33,WHITE,MALE,Release Violations/Fugitive,Fugitive From Justice,1D,105
2019,6/24/2019,7,24,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,3D,308
2019,1/3/2019,9,48,BLACK,MALE,Traffic Violations,No Permit,6D,601
2019,5/11/2019,7,25,BLACK,FEMALE,Simple Assault,Simple Assault,3D,308
2019,12/26/2019,5,40,BLACK,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,1D,101
2019,8/22/2019,12,32,BLACK,MALE,Homicide,Murder I,7D,702
2019,5/4/2019,4,49,WHITE,MALE,Simple Assault,Threats To Do Bodily Harm -misd,3D,304
2019,8/9/2019,4,27,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence -2nd Off,6D,602
2019,7/5/2019,4,56,BLACK,MALE,Narcotics,Distribution Of Marijuana-misd,3D,302
2019,4/30/2019,6,25,BLACK,FEMALE,Simple Assault,Simple Assault,4D,406
2019,12/31/2019,8,24,BLACK,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,6D,601
2019,7/29/2019,5,27,BLACK,MALE,Weapon Violations,Felon In Possession,6D,603
2019,1/23/2019,6,32,BLACK,FEMALE,Simple Assault,Simple Assault,7D,706
2019,7/1/2019,7,36,BLACK,MALE,Other Crimes,Unlawful Entry,5D,501
2019,11/21/2019,9,31,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -misd,7D,705
2019,9/7/2019,4,44,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),3D,305
2019,3/9/2019,6,26,BLACK,MALE,Burglary,Burglary Two,7D,706
2019,11/5/2019,10,25,WHITE,MALE,Sex Offenses,First Degree Child Sex Abuse (rape),5D,504
2019,11/25/2019,9,30,BLACK,MALE,Simple Assault,Simple Assault,4D,408
2019,11/13/2019,9,38,BLACK,MALE,Offenses Against Family & Children,Stalking,6D,603
2019,6/6/2019,7,45,BLACK,MALE,Release Violations/Fugitive,Probation Violation (Warrant),1D,102
2019,6/29/2019,3,29,WHITE,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),1D,102
2019,2/7/2019,10,39,BLACK,FEMALE,Simple Assault,Simple Assault,7D,703
2019,2/22/2019,9,52,BLACK,FEMALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),6D,605
2019,1/15/2019,9,50,BLACK,MALE,Other Crimes,Unlawful Entry,6D,606
2019,10/20/2019,3,27,BLACK,MALE,Traffic Violations,Speed (30 Or Over),1D,103
2019,12/17/2019,9,59,BLACK,MALE,Fraud and Financial Crimes,Credit Card Fraud-misd,4D,404
2019,3/12/2019,8,23,BLACK,MALE,Theft,Theft First Degree (all Other Larceny),1D,103
2019,11/4/2019,5,53,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence -2nd Off,5D,503
2019,8/13/2019,7,32,BLACK,MALE,Other Crimes,Unlawful Entry,7D,703
2019,7/24/2019,4,27,UNKNOWN,MALE,Traffic Violations,Speed (30 Or Over),5D,503
2019,8/23/2019,10,70,WHITE,MALE,Prostitution,Sexual Solicitation,4D,401
2019,9/13/2019,1,28,BLACK,MALE,Prostitution,Sexual Solicitation,3D,307
2019,9/25/2019,11,23,BLACK,FEMALE,Release Violations/Fugitive,Fugitive From Justice,1D,106
2019,5/22/2019,12,21,BLACK,MALE,Robbery,Robbery,5D,507
2019,1/12/2019,11,40,BLACK,MALE,Theft,Theft Second Degree (theft From Building),3D,305
2019,12/17/2019,4,53,BLACK,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,6D,607
2019,9/14/2019,7,35,UNKNOWN,MALE,Simple Assault,Simple Assault,3D,305
2019,9/5/2019,8,30,BLACK,MALE,Traffic Violations,Speed (30 Or Over),3D,304
2019,6/28/2019,5,19,BLACK,MALE,Narcotics,Distribution Of Marijuana-misd,5D,507
2019,4/3/2019,11,29,BLACK,MALE,Simple Assault,Threats To Do Bodily Harm -misd,6D,603
2019,11/20/2019,4,29,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (OAG),1D,106
2019,6/9/2019,5,27,BLACK,FEMALE,Simple Assault,Simple Assault,5D,506
2019,1/31/2019,9,32,BLACK,FEMALE,Release Violations/Fugitive,Failure To Appear (USAO),1D,102
2019,12/6/2019,5,34,UNKNOWN,MALE,Traffic Violations,Speed (30 Or Over),5D,503
2019,8/15/2019,4,37,BLACK,MALE,Simple Assault,Simple Assault,6D,604
2019,5/8/2019,12,31,BLACK,MALE,Prostitution,Sexual Solicitation,5D,506
2019,8/1/2019,1,26,BLACK,MALE,Traffic Violations,Reckless Driving,1D,106
2019,4/11/2019,5,18,WHITE,FEMALE,Theft,Theft Second Degree (theft From Building),3D,302
2019,12/2/2019,1,26,BLACK,MALE,Theft,Shoplifting,4D,405
2019,12/28/2019,4,41,UNKNOWN,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,4D,402
2019,10/11/2019,10,35,BLACK,FEMALE,Damage to Property,Destruction Of Property Less Than $1000,4D,404
2019,10/5/2019,1,32,BLACK,MALE,Prostitution,Sexual Solicitation,3D,307
2019,3/14/2019,6,28,BLACK,MALE,Simple Assault,Simple Assault,7D,703
2019,7/28/2019,9,27,BLACK,MALE,Simple Assault,Simple Assault,1D,102
2019,5/20/2019,8,40,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,1D,102
2019,5/15/2019,9,66,WHITE,MALE,Theft,Theft Second Degree (theft From Building),1D,102
2019,12/1/2019,5,20,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,7D,704
2019,1/28/2019,10,30,BLACK,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,7D,705
2019,12/7/2019,3,25,BLACK,MALE,Theft,Theft Second Degree (theft From Building),5D,505
2019,6/28/2019,10,21,BLACK,MALE,Damage to Property,Destruction Of Property Less Than $1000,6D,603
2019,5/17/2019,11,46,BLACK,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,6D,608
2019,12/5/2019,9,40,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (OAG),1D,102
2019,6/11/2019,12,21,BLACK,MALE,Weapon Violations,Possession Of Bb Gun,6D,602
2019,10/15/2019,3,27,BLACK,MALE,Robbery,Robbery,2D,208
2019,10/1/2019,9,30,BLACK,FEMALE,Traffic Violations,Counterfeit Tags,6D,602
2019,10/9/2019,6,50,WHITE,FEMALE,Other Crimes,Unlawful Entry,6D,603
2019,10/15/2019,9,20,BLACK,MALE,Release Violations/Fugitive,Tampering Of Gps Device,7D,701
2019,10/17/2019,12,33,BLACK,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,7D,704
2019,3/8/2019,6,41,WHITE,MALE,Simple Assault,Simple Assault,3D,307
2019,10/22/2019,6,24,BLACK,MALE,Other Crimes,Unlawful Entry,6D,603
2019,11/20/2019,6,43,BLACK,FEMALE,Simple Assault,Simple Assault,7D,706
2019,9/13/2019,8,21,BLACK,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,5D,507
2019,4/13/2019,2,35,BLACK,MALE,Simple Assault,Simple Assault,6D,602
2019,5/10/2019,1,24,BLACK,MALE,Gambling,Gambling,3D,308
2019,6/21/2019,5,23,UNKNOWN,MALE,Traffic Violations,No Permit,3D,302
2019,8/28/2019,8,50,BLACK,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,6D,608
2019,6/11/2019,9,43,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),5D,505
2019,6/2/2019,9,23,WHITE,FEMALE,Simple Assault,Simple Assault,4D,403
2019,4/6/2019,2,25,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (OAG),7D,706
2019,12/5/2019,10,27,BLACK,MALE,Weapon Violations,Felon In Possession,6D,603
2019,6/10/2019,1,30,BLACK,MALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",7D,702
2019,10/13/2019,3,48,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,6D,604
2019,9/18/2019,2,33,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,5D,501
2019,5/8/2019,9,23,BLACK,MALE,Simple Assault,Threats To Do Bodily Harm -misd,3D,301
2019,8/30/2019,8,36,UNKNOWN,MALE,Simple Assault,Simple Assault,3D,304
2019,10/19/2019,4,38,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,6D,608
2019,5/2/2019,3,56,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,7D,708
2019,7/18/2019,12,29,BLACK,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),4D,409
2019,10/24/2019,6,36,BLACK,FEMALE,Theft,Theft Second Degree (all Other Larceny),2D,209
2019,10/7/2019,12,38,BLACK,MALE,Kidnapping,Kidnapping,1D,104
2019,6/1/2019,5,40,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,7D,705
2019,11/21/2019,2,44,BLACK,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,2D,208
2019,6/24/2019,10,22,BLACK,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,1D,106
2019,2/10/2019,12,25,BLACK,MALE,Simple Assault,Simple Assault,7D,708
2019,7/9/2019,11,61,BLACK,MALE,Prostitution,Sexual Solicitation,6D,602
2019,11/6/2019,10,27,BLACK,MALE,Weapon Violations,Felon In Possession,5D,507
2019,10/22/2019,6,28,BLACK,FEMALE,Simple Assault,Simple Assault,7D,703
2019,3/24/2019,5,25,BLACK,MALE,Release Violations/Fugitive,Probation Violation (Warrant),6D,607
2019,4/16/2019,9,26,BLACK,MALE,Simple Assault,Simple Assault,7D,702
2019,12/24/2019,9,54,BLACK,MALE,Prostitution,Sexual Solicitation,6D,607
2019,7/6/2019,3,30,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,7D,707
2019,5/17/2019,10,32,BLACK,MALE,Prostitution,Sexual Solicitation,6D,602
2019,7/22/2019,1,25,BLACK,FEMALE,Theft,Shoplifting,6D,606
2019,9/10/2019,4,40,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -misd,7D,706
2019,11/2/2019,7,35,BLACK,MALE,Simple Assault,Simple Assault,6D,601
2019,7/5/2019,1,27,WHITE,MALE,Simple Assault,Simple Assault,3D,305
2019,8/2/2019,1,23,WHITE,MALE,Prostitution,Sexual Solicitation,3D,307
2019,4/10/2019,6,48,BLACK,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,6D,602
2019,3/24/2019,4,22,BLACK,MALE,Property Crimes,Receiving Stolen Property-misd,6D,604
2019,12/11/2019,4,30,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),3D,306
2019,1/11/2019,10,26,BLACK,MALE,Simple Assault,Simple Assault,1D,102
2019,4/6/2019,3,28,BLACK,FEMALE,Simple Assault,Simple Assault,1D,104
2019,12/23/2019,8,24,BLACK,MALE,Property Crimes,Unauthorized Use Of A Vehicle,7D,703
2019,4/27/2019,11,25,BLACK,MALE,Simple Assault,Threats To Do Bodily Harm -misd,1D,101
2019,2/24/2019,8,59,BLACK,FEMALE,Other Crimes,Unlawful Entry,1D,106
2019,1/3/2019,4,44,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -misd,7D,703
2019,7/5/2019,2,35,BLACK,MALE,Other Crimes,Unlawful Entry,1D,106
2019,10/27/2019,3,58,UNKNOWN,MALE,Narcotics,Possess Controlled Substance,4D,406
2019,5/5/2019,5,42,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -misd,6D,602
2019,6/5/2019,9,43,BLACK,FEMALE,Simple Assault,Simple Assault,6D,603
2019,2/5/2019,2,21,BLACK,MALE,Simple Assault,Simple Assault,6D,603
2019,9/4/2019,1,18,BLACK,FEMALE,Simple Assault,Simple Assault,7D,701
2019,7/3/2019,10,23,BLACK,MALE,Other Crimes,Fireworks - Possession,3D,305
2019,9/16/2019,12,42,BLACK,MALE,Simple Assault,Simple Assault,7D,706
2019,3/26/2019,9,29,BLACK,MALE,Assault with a Dangerous Weapon,Assault W/i To Kill,6D,608
